id,team_id1,team_id2,h_score,a_score,match_date,captain1_id,captain2_id,stadium_id
1,3,1,2,0,2021-08-13,65,11,8
2,5,4,1,2,2021-08-14,144,103,18
3,6,7,3,0,2021-08-14,156,206,16
4,8,16,3,1,2021-08-14,222,500,7
5,10,20,1,0,2021-08-14,292,601,9
6,13,9,5,1,2021-08-14,400,254,12
7,15,11,0,3,2021-08-14,453,326,2
8,18,2,3,2,2021-08-14,534,50,19
9,14,19,2,4,2021-08-15,430,587,14
10,17,12,1,0,2021-08-15,517,357,17
11,2,14,2,0,2021-08-21,50,430,20
12,4,18,2,0,2021-08-21,103,534,6
13,7,3,0,0,2021-08-21,206,65,13
14,9,8,2,2,2021-08-21,254,222,4
15,11,5,2,0,2021-08-21,326,144,1
16,12,15,5,0,2021-08-21,357,453,3
17,1,6,0,2,2021-08-22,11,156,5
18,16,13,1,1,2021-08-22,500,400,15
19,20,17,0,1,2021-08-22,601,517,11
20,19,10,4,1,2021-08-23,587,292,10
21,2,3,1,1,2021-08-28,50,65,20
22,4,8,0,2,2021-08-28,103,222,6
23,11,6,1,1,2021-08-28,326,156,1
24,12,1,5,0,2021-08-28,357,11,3
25,14,16,2,2,2021-08-28,430,500,14
26,15,10,1,2,2021-08-28,453,292,2
27,19,7,2,2,2021-08-28,587,206,10
28,5,9,1,1,2021-08-29,144,254,18
29,17,18,1,0,2021-08-29,517,534,17
30,20,13,0,1,2021-08-29,601,400,11
31,1,15,1,0,2021-09-11,11,453,5
32,3,4,0,1,2021-09-11,65,103,8
33,6,2,3,0,2021-09-11,156,50,16
34,7,17,3,0,2021-09-11,206,517,13
35,10,12,0,1,2021-09-11,292,357,9
36,13,14,4,1,2021-09-11,400,430,12
37,16,19,0,0,2021-09-11,500,587,15
38,18,20,0,2,2021-09-11,534,601,19
39,9,11,0,3,2021-09-12,254,326,4
40,8,5,3,1,2021-09-13,222,144,7
41,14,9,1,1,2021-09-17,430,254,14
42,2,8,3,0,2021-09-18,50,222,20
43,5,1,0,1,2021-09-18,144,11,18
44,11,7,3,0,2021-09-18,326,206,1
45,12,16,0,0,2021-09-18,357,500,3
46,15,18,1,3,2021-09-18,453,534,2
47,20,3,0,2,2021-09-18,601,65,11
48,4,10,2,1,2021-09-19,103,292,6
49,17,6,0,3,2021-09-19,517,156,17
50,19,13,1,2,2021-09-19,587,400,10
51,3,11,3,3,2021-09-25,65,326,8
52,6,12,0,1,2021-09-25,156,357,16
53,8,15,2,0,2021-09-25,222,453,7
54,9,19,1,2,2021-09-25,254,587,4
55,10,5,2,2,2021-09-25,292,144,9
56,13,2,0,1,2021-09-25,400,50,12
57,18,14,1,1,2021-09-25,534,430,19
58,1,17,3,1,2021-09-26,11,517,5
59,16,20,0,1,2021-09-26,500,601,15
60,7,4,1,1,2021-09-27,206,103,13
61,4,1,0,0,2021-10-02,103,11,6
62,5,15,0,0,2021-10-02,144,453,18
63,6,16,3,1,2021-10-02,156,500,16
64,9,18,1,0,2021-10-02,254,534,4
65,13,8,1,1,2021-10-02,400,222,12
66,20,14,2,1,2021-10-02,601,430,11
67,7,10,2,2,2021-10-03,206,292,13
68,11,12,2,2,2021-10-03,326,357,1
69,17,2,2,1,2021-10-03,517,50,17
70,19,3,1,2,2021-10-03,587,65,10
71,2,20,2,3,2021-10-16,50,601,20
72,3,6,0,1,2021-10-16,65,156,8
73,10,13,4,2,2021-10-16,292,400,9
74,12,5,2,0,2021-10-16,357,144,3
75,15,4,0,0,2021-10-16,453,103,2
76,16,9,1,0,2021-10-16,500,254,15
77,18,11,0,5,2021-10-16,534,326,19
78,8,19,0,1,2021-10-17,222,587,7
