id,name,nationality
1,Andre Marriner,England
2,Andy Madley,England
3,Anthony Taylor,England
4,Chris Kavanagh,England
5,Craig Pawson,England
6,Darren England,England
7,David Coote,England
8,Graham Scott,England
9,Jarred Gillett,Austria
10,John Brooks,England
11,Jonathan Moss,England
12,Kevin Friend,England
13,Martin Atkinson,England
14,Michael Oliver,England
15,Michael Salisbury,England
16,Mike Dean,England
17,Paul Tierney,England
18,Peter Bankes,England
19,Robert Jones,England
20,Simon Hooper,England
21,Stuart Attwell,England
22,Tony Harrington,England
