id,name,address
1,Anfield,"Anfield Rd, Anfield, Liverpool L4 0TH, UK"
2,Carrow Road,"Carrow Rd, Norwich NR1 1JE, UK"
3,City of Manchester Stadium,"Ashton New Rd, Manchester M11 3FF, UK"
4,Elland Road,"Elland Rd, Beeston, Leeds LS11 0ES, UK"
5,Emirates Statium,"Hornsey Rd, London N7 7AJ, UK"
6,Falmer Stadium,"Village Way, Brighton BN1 9BL, UK"
7,Goodison Park,"Goodison Rd, Liverpool L4 4EL, UK"
8,Gtech Community Stadium,"Lionel Rd S, Brentford TW8 0RU, UK"
9,King Power Stadium,"Filbert Wy, Leicester LE2 7FL, UK"
10,London Stadium,"London E20 2ST, UK"
11,Molineux Stadium,"Waterloo Rd, Wolverhampton WV1 4QR, UK"
12,Old Trafford,"Sir Matt Busby Way, Old Trafford, Stretford, Manchester M16 0RA, UK"
13,Selhurst Park,"Holmesdale Rd, London SE25 6PU, UK"
14,St James' Park,"Barrack Rd, Newcastle upon Tyne NE1 4ST, UK"
15,St Mary's Stadium,"Britannia Rd, Southampton SO14 5FP, UK"
16,Stamford Bridge,"Fulham Rd., London SW6 1HS, UK"
17,Tottenham Hotspur Stadium,"782 High Rd, London N17 0BX, UK"
18,Turf Moor,"Turf Moor, 52-56 Harry Potts Way, Burnley BB10 4BX, UK"
19,Vicarage Road,"Vicarage Rd, Watford WD18 0ER, UK"
20,Villa Park,"Trinity Rd, Birmingham B6 6HE, UK"
