id,pld,wins,draws,losses,gf,ga,points,T_id
1,38,29,6,3,99,26,93,12
2,38,28,8,2,94,26,92,11
3,38,21,11,6,76,33,74,6
4,38,22,5,11,69,40,71,17
5,38,22,3,13,61,48,69,1
6,38,16,10,12,57,57,58,13
7,38,16,8,14,60,51,56,19
8,38,14,10,14,62,59,52,10
9,38,12,15,11,42,44,51,4
10,38,15,6,17,38,43,51,20
11,38,13,10,15,44,62,49,14
12,38,11,15,12,50,46,48,7
13,38,13,7,18,48,56,46,3
14,38,13,6,19,52,54,45,2
15,38,9,13,16,43,67,40,16
16,38,11,6,21,43,66,39,8
17,38,9,11,18,42,79,38,9
18,38,7,14,17,34,53,35,5
19,38,6,5,27,34,77,23,18
20,38,5,7,26,23,84,22,15
